id_book,page,start_time,duration,total_pages
28,487,1784941475,30,2697
28,590,1784941871,104,2697
28,590,1784941984,39,2697
28,588,1784941699,48,2697
28,587,1784941505,120,2697
28,587,1784941689,10,2697
28,589,1784941750,120,2697
28,591,1784941975,9,2697
28,591,1784942023,93,2697
28,591,1784942123,6,2697
28,595,1784942329,66,2697
28,597,1784942856,120,2697
28,592,1784942129,58,2697
28,598,1784942996,27,2697
28,596,1784942395,120,2697
28,594,1784942252,77,2697
28,593,1784942187,65,2697
28,606,1784943707,53,2697
28,604,1784943576,64,2697
28,603,1784943495,81,2697
28,601,1784943317,54,2697
28,598,1784943128,31,2697
28,598,1784943211,57,2697
28,597,1784943067,61,2697
28,597,1784943159,13,2697
28,597,1784943181,30,2697
28,602,1784943371,120,2697
28,607,1784943760,110,2697
28,605,1784943640,67,2697
28,599,1784943268,15,2697
28,596,1784943172,9,2697
28,600,1784943283,34,2697
28,608,1784943870,120,2697
28,611,1784944184,60,2697
28,619,1784944884,50,2697
28,612,1784944244,61,2697
28,617,1784944612,60,2697
28,617,1784944726,10,2697
28,614,1784944360,52,2697
28,609,1784943994,72,2697
28,609,1784944074,52,2697
28,618,1784944672,38,2697
28,618,1784944721,5,2697
28,618,1784944736,120,2697
28,616,1784944529,83,2697
28,615,1784944412,117,2697
28,613,1784944305,55,2697
28,610,1784944126,58,2697
28,608,1784944066,8,2697
28,622,1784945039,32,2697
28,621,1784945014,25,2697
28,623,1784945075,69,2697
28,620,1784944934,72,2697
28,620,1784945008,6,2697
28,631,1784945785,6,2697
28,631,1784945793,82,2697
28,629,1784945627,74,2697
28,626,1784945306,95,2697
28,625,1784945220,86,2697
28,624,1784945144,76,2697
28,627,1784945401,120,2697
28,628,1784945525,102,2697
28,630,1784945701,84,2697
28,638,1784946428,9,2697
28,638,1784946449,86,2697
28,636,1784946276,89,2697
28,635,1784946199,77,2697
28,632,1784945875,89,2697
28,637,1784946365,63,2697
28,637,1784946437,12,2697
28,633,1784945964,94,2697
28,633,1784946069,18,2697
28,634,1784946058,11,2697
28,634,1784946087,112,2697
28,639,1784946535,119,2697
28,639,1784946656,23,2697
28,639,1784946698,65,2697
28,639,1784946764,40,2697
28,638,1784946679,19,2697
28,644,1784947130,8,2697
28,641,1784946907,120,2697
28,640,1784946804,103,2697
28,643,1784947082,43,2697
28,643,1784947138,38,2697
28,642,1784947037,45,2697
28,655,1784948072,48,2697
28,644,1784947203,75,2697
28,653,1784947893,76,2697
28,649,1784947576,52,2697
28,649,1784947651,9,2697
28,651,1784947729,97,2697
28,646,1784947326,37,2697
28,646,1784947383,25,2697
28,652,1784947826,67,2697
28,654,1784947969,65,2697
28,654,1784948038,34,2697
28,648,1784947456,49,2697
28,648,1784947526,50,2697
28,650,1784947628,23,2697
28,650,1784947660,69,2697
28,645,1784947278,48,2697
28,647,1784947363,5,2697
28,647,1784947371,12,2697
28,647,1784947408,44,2697
28,581,1784947515,10,2697
28,643,1784947177,19,2697
28,643,1784947198,5,2697
28,582,1784947505,10,2697
28,654,1784948120,6,2697
28,636,1784948204,17,2697
28,636,1784948224,6,2697
28,636,1784948246,28,2697
28,637,1784948230,16,2697
28,652,1784948180,24,2697
28,656,1784948148,5,2697
28,656,1784948162,5,2697
28,656,1784948281,120,2697
28,655,1784948126,22,2697
28,655,1784948153,9,2697
28,655,1784948167,9,2697
28,657,1784949083,72,2697
28,658,1784949155,57,2697
28,670,1784956126,69,2697
28,665,1784955745,77,2697
28,666,1784955822,74,2697
28,661,1784955383,120,2697
28,662,1784955511,70,2697
28,669,1784956038,88,2697
28,664,1784955686,59,2697
28,667,1784955896,75,2697
28,660,1784954344,120,2697
28,660,1784955321,62,2697
28,663,1784955581,105,2697
28,668,1784955971,67,2697
28,671,1784956195,77,2697
28,673,1784956405,67,2697
28,674,1784956472,106,2697
28,677,1784956761,75,2697
28,678,1784956836,120,2697
28,672,1784956272,120,2697
28,675,1784956578,79,2697
28,676,1784956657,104,2697
28,687,1785072735,79,2697
28,685,1785072559,78,2697
28,685,1785072686,8,2697
28,686,1785072637,49,2697
28,686,1785072694,41,2697
28,680,1785072248,13,2697
28,680,1785072293,10,2697
28,682,1785072357,69,2697
28,1371,1785072814,39,2697
28,679,1785072034,120,2697
28,679,1785072261,32,2697
28,684,1785072494,65,2697
28,683,1785072426,68,2697
28,681,1785072303,54,2697
28,693,1785073502,78,2697
28,693,1785073594,41,2697
28,693,1785073707,5,2697
28,694,1785073635,72,2697
28,694,1785073718,23,2697
28,688,1785072983,15,2697
28,688,1785073003,48,2697
28,691,1785073172,91,2697
28,687,1785072948,35,2697
28,687,1785072998,5,2697
