id_book,page,start_time,duration
20,16,1784343503,44
20,17,1784343547,13
20,18,1784343560,38
20,19,1784343598,45
20,20,1784343643,29
20,21,1784343672,36
20,22,1784343708,64
20,23,1784343772,68
20,24,1784343840,70
20,25,1784343910,47
20,25,1784344065,21
20,25,1784344107,5
20,26,1784344086,21
20,26,1784344112,35
20,27,1784344147,55
20,28,1784344202,59
20,29,1784344261,34
20,30,1784344295,59
20,31,1784344354,59
20,32,1784344413,112
20,33,1784344525,24
20,34,1784344549,24
20,35,1784344573,75
20,36,1784344648,73
20,37,1784344721,50
20,38,1784344771,39
20,39,1784344810,40
20,40,1784344850,47
20,40,1784344903,120
20,41,1784344897,6
21,1,1784348000,24
21,2,1784348034,20
21,3,1784348054,32
21,4,1784348024,9
21,4,1784348086,30
21,5,1784348116,64
21,6,1784348180,28
21,7,1784348208,51
21,8,1784348259,69
21,9,1784348328,43
21,10,1784348371,6
21,11,1784348377,41
21,12,1784348418,79
21,13,1784348497,110
21,14,1784348607,64
21,15,1784348671,45
21,16,1784348716,44
21,17,1784348760,83
21,18,1784348843,68
21,19,1784348911,45
21,20,1784348956,109
21,21,1784349065,87
21,22,1784349152,67
21,23,1784349223,57
21,24,1784349280,120
21,25,1784349406,45
21,26,1784349451,60
21,27,1784349511,120
21,28,1784349676,61
21,29,1784349737,54
21,30,1784349791,38
21,31,1784349791,38
21,35,1784350017,63
21,33,1784349904,41
21,32,1784349868,36
